Totals for data,Async,Foundation,KnownOrigin,Makersplace,Nifty Gateway,OpenSea,Rarible,SuperRare,Zora
2021-02-17,2899818,29556665,13294542,23227474,96370128,681085466,370818197,67845390,43273848
2021-02-16,2560468,28480323,13503288,24200125,173843335,850047182,449481071,69922063,41409261
2021-02-15,3015806,11429057,15130039,16331906,465599071,597869213,406910405,56800970,29164862
2021-02-14,7129560,10623320,8496577,17705763,253015889,480444163,392424889,56312472,25279309
2021-02-13,3419886,11383560,9559624,11838469,358301996,363620587,331781572,48366316,12117120
2021-02-12,10003129,11535588,4472015,20259120,29564913,250629195,252880732,51242231,8739697
2021-02-11,4865504,13742901,8003212,19771066,174049156,279294842,234591731,32831970,9095949
2021-02-10,2674946,19181934,12579769,18048021,6520259,337333794,209240357,29852801,10605609
2021-02-09,686800,5431929,6421864,6920949,26993598,213587687,147378750,32203480,17694697
2021-02-08,870353,8855584,3090122,4935359,57911954,193885511,133115194,27837620,9569806
2021-02-07,1690159,13644571,5946442,16147061,163723849,278131959,230949125,29047317,20388918
2021-02-06,2885575,14147242,5559250,19469077,95679989,307387667,209592968,31853315,16885234
2021-02-05,4274445,7545206,2476535,4624734,120431941,239635014,204886470,22158790,17516543
2021-02-04,751357,16297987,3403491,3404550,118697497,246837840,122382654,25507954,12955104
2021-02-03,1039394,15943756,3357080,3345502,3674448,401855066,171708358,27413250,18236956
2021-02-02,1810693,12162966,4181141,5394917,84189962,633456590,108944071,35890077,29246312
2021-02-01,3090803,4155496,5665528,6788435,97882894,587710374,106796568,28674265,19923596
2021-01-31,1297135,3304137,9307098,6138467,134302625,375418680,129784514,28362138,6917976
2021-01-30,1127701,1528635,5165032,8684903,91870877,215789357,110910848,32120516,19171414
2021-01-29,8433174,0,6537595,18646996,247053854,230725159,142499087,36181152,23649276
2021-01-28,5244742,3014622,7020804,32823877,247573898,179074228,164051155,35491505,14761478
2021-01-27,1781199,4907528,5453010,11557783,224798579,174114407,182221898,37411764,15560601
2021-01-26,1740143,3573114,2811356,30405643,165603308,202844333,125597716,39016771,19988603
2021-01-25,6348751,3018798,5859379,13388354,62145132,127383121,112020979,37816363,22484810
2021-01-24,4122031,2285463,12284438,11322929,30928206,127131691,115408427,33798048,13743420
2021-01-23,7280286,2278956,5702686,24379609,36224521,145282174,164517263,30795847,2680656
2021-01-22,2525437,2304663,9850320,21614602,500932475,148366871,115735965,30946109,1078284
2021-01-21,1552480,1889293,5131738,18006164,139644593,109671790,87204211,23052225,1069317
2021-01-20,1770271,294315,8452552,25985028,132278732,112499400,156300921,28585950,554148
2021-01-19,1441958,0,5377721,25588489,283971838,113459833,117581838,32045950,0
2021-01-18,838862,0,6958456,12004611,56231694,152139539,105292693,38145460,0
2021-01-17,2795840,0,6652680,19776232,5358287,157439832,138343648,26881699,0
2021-01-16,772159,0,7503178,14974471,4980686,127305806,117162856,29456507,0
2021-01-15,1484040,0,8851013,18438001,86477622,120081699,126874877,39426640,0
2021-01-14,1859032,0,7611767,32695001,103448267,102720566,139496011,29908234,0
2021-01-13,1666975,1802412,13051160,28625389,179137075,158070400,179685431,30174822,0
2021-01-12,1558802,0,7622478,35829800,61771363,114039081,155266917,26443544,0
2021-01-11,17906922,0,7547284,16433694,16987417,71186299,73814507,23816723,0
2021-01-10,767071,0,6528546,11622376,2616472,122497245,100969434,21398777,0
2021-01-09,3022129,0,11736557,19394825,4298032,144081181,131186672,28792372,0
2021-01-08,2754106,0,6441380,40778101,43366527,134178870,93927096,29978216,0
2021-01-07,1303405,0,2947576,9353825,13921859,90148908,74718147,27383609,0
2021-01-06,1992612,0,5737846,18100152,133192209,73761523,94511506,26996352,0
2021-01-05,2816820,0,3217627,19269648,76109692,105484987,103176179,23678642,0
2021-01-04,614547,0,9974201,10750530,79693430,79485809,66773446,23996608,0
2021-01-03,1226450,0,1988643,4222986,66882374,75640813,82631779,15796156,0
2021-01-02,878255,0,4088864,15396680,5744151,127424312,150776347,24005813,0
2021-01-01,2827075,0,8023937,25799622,149406295,158938173,239034560,21540971,0
2020-12-31,2690243,0,6564005,25584598,20398624,154700754,203903336,20402332,6955003
2020-12-30,506835,0,6938016,16882649,194099522,100767427,176951774,18884378,0
2020-12-29,4612467,0,7766441,13592109,68651458,100468156,146550150,21336483,0
2020-12-28,1438672,0,7978365,18271613,43398974,100802142,107053823,23752084,0
2020-12-27,730000,0,5652811,15895129,3898323,104111689,149552997,21252660,0
2020-12-26,1268895,0,6817522,8005660,2145783,153522322,176754201,21783735,0
2020-12-25,984176,0,5683765,22639516,2258444,202822917,169044920,16159424,0
2020-12-24,1389913,0,9849862,32254877,3520338,183058858,226030599,18679565,0
2020-12-23,894126,0,3199971,34129887,35863399,98535357,139610627,21494226,0
2020-12-22,1393274,0,8183087,11912899,142624451,192849555,183050647,36858925,0
2020-12-21,3580927,0,6885770,23785771,47395111,138230255,228263187,39018294,0
2020-12-20,3101025,0,12516513,19132476,5650236,168198957,279051082,29401570,0
2020-12-19,3791593,0,6206759,60831330,55359932,151579919,308957999,33114629,0
2020-12-18,1552322,0,14407513,29861666,271527195,140458236,283082189,42943016,0
2020-12-17,1046677,0,8100349,41075438,166164770,84399804,155156636,34884074,0
2020-12-16,2420610,0,10482418,22093421,151946645,104639191,192817814,35080002,0
2020-12-15,13518666,0,3453572,15692319,22000510,141592159,202302939,54604218,0
2020-12-14,9264105,0,5476012,18302257,7443840,191645958,280282358,37700384,0
2020-12-13,2333569,0,4375398,22349859,71519621,192321617,266793115,20351859,0
2020-12-12,1153470,0,9112690,57182439,4687107,230663984,310635943,18613240,0
2020-12-11,1918230,0,6772144,48484872,233822210,229707645,249145171,24075041,0
2020-12-10,1702717,0,3601159,55575130,31223069,141039345,264718922,24886492,0
2020-12-09,2075401,0,6140171,14091386,14287405,122927126,242908179,26942253,0
2020-12-08,1510964,0,5700575,11979458,39668737,111996573,213217224,26183327,0
2020-12-07,1907886,0,3781111,39073440,15760017,161783164,275475453,31009200,0
2020-12-06,2132429,0,11241833,31916799,2294473,190888709,288052849,25707569,0
2020-12-05,1543364,0,9859391,34157123,23862624,201078626,325954895,39593871,0
2020-12-04,4601888,0,6470605,45853211,66724504,193174524,316776180,22133025,0
2020-12-03,2453106,0,6698845,44828082,29047185,160562001,224294417,26166246,0
2020-12-02,2250742,0,6303190,59591306,29316980,220340712,296456286,21932933,0
2020-12-01,2215724,0,4624421,59193360,1330147,213170673,272041062,26696100,0
2020-11-30,2107887,0,5614269,12191512,22205369,111322840,154348578,24774653,0
2020-11-29,2457790,0,6970927,49343903,8171324,246061452,372691725,26355963,0
2020-11-28,4433965,0,16525811,38787141,17012242,221070008,366626319,20323428,0
2020-11-27,2041753,0,12365762,91111365,15541002,206889538,323972452,26517951,0
2020-11-26,2252976,0,7485032,75808718,2009714,153130370,243786635,19324424,0
2020-11-25,3038939,0,5527932,18445495,73082949,157401443,220078316,20587055,0
2020-11-24,4879867,0,9159701,30116812,1608173,149436914,189954006,24592660,0
2020-11-23,2845510,0,9408987,14334266,27052252,120049914,182569175,27106951,0
2020-11-22,2431882,0,8981920,27348536,27426515,227007557,256398168,21860228,0
2020-11-21,8153650,0,3595317,21371245,2673920,190566250,240612222,25109900,0
2020-11-20,3890263,0,11613507,31693409,36819717,200354694,304450478,28631401,0
2020-11-19,4018642,0,10469488,49685893,3888637,275620958,369040871,30015932,0
2020-11-18,1522572,0,9153958,42916430,26947837,348370893,370772119,34178278,0
2020-11-17,7095705,0,4142484,20318286,144835431,191491970,245058612,33604184,0
2020-11-16,3816408,0,14543001,22236309,3368565,206141338,252326359,40145995,0
2020-11-15,4655985,0,6550873,43491190,29404459,280705951,394974988,22296506,0
2020-11-14,2087277,0,10739115,40122309,42756654,279329637,437109179,24338177,0
2020-11-13,2660744,0,9344067,68355772,4446915,302435335,348765867,31225694,0
2020-11-12,420293,0,5371021,64366890,38571962,324679953,364613619,40160561,0
2020-11-11,969954,0,7258414,19395917,570123,226713639,320885395,31464273,0
2020-11-10,1104700,0,20371942,42798620,143729638,187614043,331333282,30992516,0
2020-11-09,2345017,0,11238506,50320662,2457964,220765651,378358325,36244696,0
2020-11-08,2055122,0,19118935,32540728,24872084,211511182,414940867,24844624,0
2020-11-07,2800492,0,8927139,47654456,28913091,217833442,378176395,26744948,0
2020-11-06,1097943,0,13093915,51936087,111368388,157911865,333490126,33937658,0
2020-11-05,1111385,0,9781230,61756159,9435914,191886485,352355462,27796055,0
2020-11-04,1287619,0,11960661,47943459,51111401,251399706,382982186,31157586,0
2020-11-03,1035796,0,10402408,59990473,1970879,218803524,448297775,31074529,0
2020-11-02,1004738,0,14118446,57337347,8671985,350132939,534906903,37062104,0
2020-11-01,1813526,0,21066887,51500078,3305036,309558548,502157476,20506058,0
2020-10-31,1729806,0,15225097,50819484,7878784,354076172,561007637,32376572,0
2020-10-30,2988603,0,16086528,64225124,35168239,275960591,449095769,29776030,0
